Country,%Annual_Growth_imports_goods_services,%Access_Electricity,%Land_Arable,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total).csv",CO2_Metric_tons_/capita,External_debt_stock_%GNI,Fertility_rate_births/woman,/Capita_GDP_Growth(annual),Govt_Expenditure_Education(%GDP),Adult_female_literacy_rate(15 + up),"Literacy rate, adult male (% of males ages 15 and above)",Net migration,Population growth (annual %),Renewable energy consumption (% of total final energy consumption),trade%gdp,Agricultural Land (%Land),"Agriculture, Forest,Fishing, Value Added (%) GDP)",Children in Employment (% Male),High-tech Exports ($),"Industry, Value Added (%GDP)",Population in Slums (% Urban Population),Rural population (% total Population),"School enrollment, primary and secondary (gross), gender parity index",Urban Population (% of total population),Gini
IS,0.827146304,100,1.206982544,4.968023006,6.154683862,51.53456,1.71,1.071024577,7.658219814,4.49542,87.8896,1900,2.406724253,77.02968921,85.91666622,18.67331671,4.343769155,21,305002021,19.38758504,33.338,22157,0.994610012,93.855,26.8
IN,8.597579178,95.2358551,52.62462204,24.16618437,1.817783386,19.73559503,2.222,3.128532264,3.844670057,65.79080963,82.36670685,268179.1,1.015106028,36.02122257,39.55006082,60.44719645,16.01507787,1.9,23643556632,24.7794349,35.20000076,895386226,1.020169973,34.472,35.7
ID,11.88120295,98.51,12.97217331,18.92565955,2.153758127,37.03422669,2.311,3.875165687,3.583600044,93.99217987,97.33133698,268179.1,1.100584587,36.8793481,37.30339786,31.46442036,12.71715358,4.2,6285817887,38.9487536,30.60000038,119115844,0.993399978,55.985,37.8
IR,13.40535271,100,9.017289226,8.089179176,8.316701233,1.264801601,2.137,2.327703159,3.955359936,80.78743744,90.35240936,268179.1,1.352226023,0.913005057,56.17306211,28.21410153,12.18187982,21,175291017,31.67780302,25.29999924,20404283,1.01710999,75.391,40.8
IQ,12,99.9,11.5173403,15.29683139,5.191404781,51.53456,3.672,2.073898719,4.49542,79.90000153,91.19999695,39171,2.254134219,0.798830769,77.34777686,21.42225296,1.476382046,8.3,16399628226,49.89769522,45.70000076,11526415,0.813799977,70.678,29.5
IE,35.60630658,100,6.474089128,5.68459569,7.930340975,51.53456,1.75,3.966385251,3.506860018,4.49542,87.8896,118020,1.511494038,9.081399013,239.2150917,64.53766875,0.901973136,21,39356223019,35.18268822,33.338,1805612,1.06024003,63.405,32.8
IL,4.10771,100,13.63216266,10.31801178,7.625351861,51.53456,3.09,1.523015057,6.092619896,4.49542,87.8896,50002,1.901250951,3.707766913,56.76621639,24.58410351,1.142706903,21,12564551000,19.41589573,33.338,678959,1.012850046,92.501,39
IT,3.510160732,100,22.44509417,5.504788046,5.270866786,51.53456,1.29,0.549676888,4.044939995,98.9719162,99.35344696,744713,0.917504096,16.51685058,59.9562955,43.23451418,1.91353303,21,32869409059,21.38174278,33.338,17646804,0.978990018,70.736,35.9
JM,0.7,98.93328094,11.08033241,8.973658908,2.830147084,98.82872981,1.979,0.24149631,5.16918993,92.69999695,83.44000244,268179.1,0.456356197,16.77190746,89.02638174,40.99722992,6.598570424,6.4,1518794,20.251645,57.09999847,1297685,0.99673003,55.985,45.5
JP,3.37162372,100,11.4768488,10.2966194,8.944372824,51.53456,1.42,0.864738282,3.182179928,4.49542,87.8896,357800,0.017960542,6.297357081,36.81650736,12.26409919,1.239368298,21,1.04E+11,29.07201364,33.338,10482515,0.984406,91.698,32.9
JO,7.643976233,99.9,2.672448688,10.01022905,2.628700806,75.6749563,2.761,0.485101304,3.072530031,97.83207703,98.61421204,51099,1.452664319,3.229170042,86.34253757,12.00675784,4.912643817,2.01,71400169,24.45447108,23.39999962,888646,1.000130057,91.203,33.7
KZ,11.6,100,10.88824684,5.124694704,13.89268146,98.29527917,2.84,3.159841981,2.615950108,99.73899078,99.8296814,159807,1.290742218,1.558442912,63.89756829,80.37633811,4.466335958,4.4,2251491437,33.02879591,33.338,7860906,1.01346004,57.54,27.5
KE,2.481299083,75,10.19081421,48.28991208,0.36511748,36.56528082,3.492,2.998930483,5.306250095,78.1889267,84.98883057,25144,2.27190164,72.66275251,33.40144307,48.54693046,34.14965361,34.94167101,82475871,16.14641759,46.5,38112450,0.950529993,27.507,40.8
KI,5.451721302,100,2.469135802,21.61675988,0.58659486,51.53456,3.569,0.71808075,11.98812008,4.49542,87.8896,268179.1,1.506969958,4.253998693,98.39241362,41.97530864,28.6156452,21,42923,12.4706624,33.338,53117,1.071849942,54.835,37
KR,1.712882232,100,14.57600286,12.82878715,12.11106978,51.53456,0.977,1.837150505,4.333099842,97.61865997,98.31552124,58657,0.198353208,2.707702804,76.99642931,17.44607064,1.62242067,21,1.54E+11,32.83214695,33.338,9602379,0.995530009,81.43,31.6
KG,2.942742088,100,6.715328467,10.44143105,1.609873016,106.4022664,3.3,2.336684474,6.026189804,99.49971771,99.67700958,268179.1,2.098717844,23.3068222,103.0849986,54.95828989,12.08984304,47.2424449,29880952,27.60633812,9.699999809,4093812,0.993589997,36.591,27.7
LA,4.552,97.91982269,6.60745234,25.64050373,2.594704584,94.11267065,2.667,3.076179912,2.937809944,79.39103699,89.96128082,268179.1,1.517115575,59.31586075,75.09189092,10.26429809,15.28811753,7.6,229427369,30.90984611,21.10000038,4613903,0.95104003,35.645,36.4
LV,2.956773845,100,20.71405597,3.040765024,3.574298418,51.53456,1.6,2.821572309,4.397119999,99.90640259,99.86837006,268179.1,1.35,38.09801717,121.0945011,31.05500161,3.724961325,21,1471919256,18.55506702,33.338,608174,0.997439981,68.222,35.6
LB,1.145867836,100,12.90322581,5.553377481,3.694800615,144.9338367,2.087,4.922417632,2.432450056,93.30500793,96.85466003,1192354,0.099061362,3.64671967,96.04102754,64.32062561,3.073209976,21,39529301,12.76192834,61.09999847,770719,0.984406,88.758,31.8
LS,0.6971505,47,11.5942029,42.18825423,1.210551224,33.3555832,3.141,4.238094766,6.985189915,84.93489075,67.74746704,268179.1,0.809566476,52.13920609,139.3661017,77.63504611,4.53165759,4,1254081,29.06067342,53.59999847,1517760,1.045050025,28.585,44.9
LR,0.430053619,25.9182663,5.1910299,58.43149773,0.302199709,49.95012744,4.315,5.82096229,2.584120035,34.09225845,62.69655991,25000,2.427194604,83.84704334,127.4522759,28.03156146,39.1132363,21.7,16399628226,11.9679998,70.30000305,2388948,0.863579989,51.615,35.3
LT,6.343644373,100,34.20388926,3.414327994,4.519456418,51.53456,1.63,4.889188543,3.812829971,99.83323669,99.79418945,268179.1,1.35,28.96117925,149.693088,47.15526021,3.223970882,21,2527024759,25.25601687,33.338,898175,0.975830019,67.855,37.3
LU,0.91219745,100,25.45679037,5.356611264,15.44261306,51.53456,1.38,0.325616347,3.569590092,4.49542,87.8896,48704,1.945908029,9.031313661,381.5166164,53.71193591,0.226573208,21,789478516,11.31715942,33.338,54417,1.000280023,91.223,34.9
MK,5.238276805,100,16.49484536,1.283610995,3.388998171,75.1015512,1.496,3.175183961,3.300149918,96.69999695,98.80999756,268179.1,0.024049441,24.21812973,138.8272215,50.15860428,8.046818646,20.3,252593569,23.4999906,8.300000191,870719,0.986109972,58.208,34.2
MG,5.300000001,25.90781212,6.015812994,45.45944488,0.156876974,29.90057564,4.077,2.102569679,2.825489998,72.38408661,77.27513885,268179.1,2.656240162,70.17441591,59.88171175,71.18425576,23.33861423,27.7,2679401,17.21931631,61.20000076,16758458,1.018980026,37.861,42.6
MW,3.600006433,18.02,40.30547306,49.64724799,0.075448776,32.51667034,4.209,1.649562331,4.714839935,55.20410919,69.75396729,268179.1,2.640375193,83.6494337,66.60450958,61.4128129,25.54072117,50.79,4437252,12.91956906,65.09999847,15429446,0.98852998,17.174,44.7
MY,1.488265156,100,2.684522904,18.13860307,8.091591623,51.53456,2.001,2.927798195,4.163189888,93.50482941,96.12304688,249999,1.327060649,5.194442589,123.0001837,26.25779942,7.255789665,21,86554988404,37.40141966,33.338,7474011,1.034540057,76.607,41
MV,0.2559014,100,13.00000032,8.159321228,3.03839853,52.7021959,1.87,3.912400211,4.099709988,98.11470795,97.29892731,56851,2.91560605,1.009594693,146.9915196,26.33333365,5.233177735,21,708,11.69872307,30.10000038,317308,0.99188,40.238,31.3
ML,5.900000001,50.9,5.254099771,60.25432518,0.176967052,30.9936127,5.877,1.6588905,3.787309885,25.73516083,46.18413925,268179.1,2.99663676,61.52698472,57.95211376,33.76605283,37.32059716,32.3,3021238,20.92417345,47.20000076,11178343,0.876399994,43.136,33
MT,7.864829471,100,28.34374905,7.002133543,2.947412574,51.53456,1.23,1.157843269,4.824379921,95.98872375,93.00997162,4501,3.651435801,5.355004746,273.7154936,32.43750036,0.71149905,21,758632076,12.46550797,33.338,26826,1.00406003,94.678,29.2
MR,0.649999982,44.52691269,0.436596488,52.7128002,0.657914406,71.55440464,4.561,3.067004864,1.89546001,43.35438919,63.74855042,25002,2.741280273,32.15957247,93.03579516,38.52818473,18.69950882,16.41397,3399,25.31916226,73.19999695,2058875,1.06043005,54.507,32.6
MU,2.543678651,97.46600342,36.94581281,7.264399218,3.442148744,51.53456,1.41,2.98155626,4.719349861,89.36637878,93.35735321,0,0.032240043,11.53736196,92.17452899,42.36453202,2.897378734,21,24298902,17.26688432,33.338,749731,1.024670005,40.766,36.8
MX,6.429855904,100,11.60626559,9.093436836,3.943827403,38.1158696,2.129,1.050305146,4.522819996,94.60804749,96.23290253,268179.1,1.091362132,9.215213455,77.91529344,54.64955374,3.388358384,7.350553,75234337293,30.88271118,16,24948670,1.046270013,80.444,45.4
FM,7.017886,82.09972382,2.857142857,12.70663009,1.297581999,51.53456,3.053,1.536144447,12.40791988,4.49542,87.8896,268179.1,1.037743079,1.196237862,100.8514618,31.42857143,22.51219919,21,16399628226,4.866441438,33.338,87852,1.022619963,22.812,40.1
MD,6.664927518,100,55.55792183,4.470503145,1.825536995,59.8620285,1.262,5.467325235,5.439730167,99.14041901,99.60201263,268179.1,1.35,14.27368871,87.38739573,74.21708726,10.05165031,34.5,24973388,22.77172469,59.20000076,1525350,0.980740011,42.726,25.7
MN,22.29278917,98.1,0.365096947,6.309566022,8.300172198,253.0628898,2.895,3.367089797,4.088590145,98.64888763,98.18601227,268179.1,1.718753097,3.42973729,126.2180656,71.48884055,10.80062215,17.21557608,39589730,38.45332578,38.29999924,1014541,1.02402997,68.543,32.7
ME,2.426267399,100,0.669144981,1.41387632,3.240945327,149.9504362,1.745,4.077992873,4.49542,98.27134705,99.45046997,268179.1,0.011247907,43.00406055,108.511988,18.95910781,6.393841539,21,4246458,16.12944145,27.10000038,204336,1.011240005,67.15,39
